Original-Name,Spotify-Name,Spotify-ID,Genres
Efecto-mariposa,Efecto-Mariposa,2fFrIDTV1Tk8MwAv4OJiY5,
El-Arrebato,El-Arrebato,2dJyJptNE5bMmbN6z08iNJ,flamenco;-flamenco-pop
El-Barrio,El-Barrio,0fM3rWsshliRFUmJlBP6QZ,flamenco;-flamenco-pop
El-canto-del-loco,El-Canto-Del-Loco,5RK6c1tyaKpwcDpbgCGNgj,
El-Drogas,El-Drogas,5jJWnRLQeU7fe9VaDjpIWK,rock-urbano
El-sueño-de-Morfeo,El-Sueño-de-Morfeo,2BObknRAxgoXmrf6MkO7VR,
El-último-de-la-fila,El-Último-De-La-Fila,2jMYTBTCSNYaCYy54mLc6I,rock-en-español
Ella-baila-sola,Ella-Baila-Sola,6xvRfsmnwd0qcDUomtlmAt,
Ella-Fitzgerald,Ella-Fitzgerald,5V0MlUE1Bft0mbLlND7FJz,vocal-jazz;-jazz;-swing-music;-jazz-blues;-big-band;-christmas
Ellie-Goulding,Ellie-Goulding,0X2BH1fck6amBIoJhDVmmJ,
ELO,Electric-Light-Orchestra,7jefIIksOi1EazgRTfW2Pk,symphonic-rock;-art-rock
Elton-John,Elton-John,3PhoLpVuITZKcymswpck5b,
Elvis-Costello,Elvis-Costello,2BGRfQgtzikz1pzAD0kaEn,power-pop
Elvis-Presley,Elvis-Presley,43ZHCT0cAZBISjO8DG9PnE,rockabilly;-rock-and-roll
Enanitos-verdes,Los-Enanitos-Verdes,4TK1gDgb7QKoPFlzRrBRgR,rock-en-español;-latin-rock;-argentine-rock;-mexican-rock;-latin-alternative
Enigma,Enigma,3DmG65yHQsMms7WAvrZOdt,new-age;-gregorian-chant
Enrique-Bunbury,Bunbury,4uqzzJg3ww5eH7IgGV7DMT,rock-en-español;-latin-rock;-mexican-rock
Enrique-Iglesias,Enrique-Iglesias,7qG3b048QCHVRO5Pv1T5lw,latin-pop;-latin
Enya,Enya,6uothxMWeLWIhsGeF7cyo4,new-age;-celtic
Erasure,Erasure,0z5DFXmhT4ZNzWElsM7V89,synthpop;-new-wave
Eric-Clapton,Eric-Clapton,6PAt558ZEZl0DmdXlnjMgD,blues;-blues-rock;-classic-rock
Eros-Ramazzotti,Eros-Ramazzotti,61J0BktHv7PuP3tjTPYXSX,italo-dance
Erreway,Erreway,0gcn3HLEtMkH06w4GUxzG3,
Estopa,Estopa,5ZqnEfVdEGmoPxtELhN7ai,flamenco;-flamenco-pop
Eternal,Eternal,7zYGAXxAaq15C9eM29M8Fj,new-jack-swing
Europe,Europe,7Js6Lde8thlIHXggv2SCBz,glam-metal
