id,name,type,uri,href,popularity,genres,primary_genre,external_url,followers_total,followers_href,number_of_images,first_image_url,last_image_url,images_info
1i8SpTcr7yvPOmcqrbnVXY,Ozuna,artist,spotify:artist:1i8SpTcr7yvPOmcqrbnVXY,https://api.spotify.com/v1/artists/1i8SpTcr7yvPOmcqrbnVXY,88,"reggaeton, trap latino, latin, urbano latino",reggaeton,https://open.spotify.com/artist/1i8SpTcr7yvPOmcqrbnVXY,38564709,,3,https://i.scdn.co/image/ab6761610000e5eb463e10d5f1a533ddd6eb9a04,https://i.scdn.co/image/ab6761610000f178463e10d5f1a533ddd6eb9a04,"url: https://i.scdn.co/image/ab6761610000e5eb463e10d5f1a533ddd6eb9a04, height: 640, width: 640; url: https://i.scdn.co/image/ab67616100005174463e10d5f1a533ddd6eb9a04, height: 320, width: 320; url: https://i.scdn.co/image/ab6761610000f178463e10d5f1a533ddd6eb9a04, height: 160, width: 160"
1vyhD5VmyZ7KMfW5gqLgo5,J Balvin,artist,spotify:artist:1vyhD5VmyZ7KMfW5gqLgo5,https://api.spotify.com/v1/artists/1vyhD5VmyZ7KMfW5gqLgo5,89,"reggaeton, latin",reggaeton,https://open.spotify.com/artist/1vyhD5VmyZ7KMfW5gqLgo5,38357881,,3,https://i.scdn.co/image/ab6761610000e5eb4a350b04a3f9bb77a30b004e,https://i.scdn.co/image/ab6761610000f1784a350b04a3f9bb77a30b004e,"url: https://i.scdn.co/image/ab6761610000e5eb4a350b04a3f9bb77a30b004e, height: 640, width: 640; url: https://i.scdn.co/image/ab676161000051744a350b04a3f9bb77a30b004e, height: 320, width: 320; url: https://i.scdn.co/image/ab6761610000f1784a350b04a3f9bb77a30b004e, height: 160, width: 160"
0EmeFodog0BfCgMzAIvKQp,Shakira,artist,spotify:artist:0EmeFodog0BfCgMzAIvKQp,https://api.spotify.com/v1/artists/0EmeFodog0BfCgMzAIvKQp,88,latin pop,latin pop,https://open.spotify.com/artist/0EmeFodog0BfCgMzAIvKQp,38019638,,3,https://i.scdn.co/image/ab6761610000e5eb2528c726e5ddb90a7197e527,https://i.scdn.co/image/ab6761610000f1782528c726e5ddb90a7197e527,"url: https://i.scdn.co/image/ab6761610000e5eb2528c726e5ddb90a7197e527, height: 640, width: 640; url: https://i.scdn.co/image/ab676161000051742528c726e5ddb90a7197e527, height: 320, width: 320; url: https://i.scdn.co/image/ab6761610000f1782528c726e5ddb90a7197e527, height: 160, width: 160"
1HY2Jd0NmPuamShAr6KMms,Lady Gaga,artist,spotify:artist:1HY2Jd0NmPuamShAr6KMms,https://api.spotify.com/v1/artists/1HY2Jd0NmPuamShAr6KMms,94,"art pop, pop",art pop,https://open.spotify.com/artist/1HY2Jd0NmPuamShAr6KMms,38020656,,3,https://i.scdn.co/image/ab6761610000e5ebaadc18cac8d48124357c38e6,https://i.scdn.co/image/ab6761610000f178aadc18cac8d48124357c38e6,"url: https://i.scdn.co/image/ab6761610000e5ebaadc18cac8d48124357c38e6, height: 640, width: 640; url: https://i.scdn.co/image/ab67616100005174aadc18cac8d48124357c38e6, height: 320, width: 320; url: https://i.scdn.co/image/ab6761610000f178aadc18cac8d48124357c38e6, height: 160, width: 160"
6jJ0s89eD6GaHleKKya26X,Katy Perry,artist,spotify:artist:6jJ0s89eD6GaHleKKya26X,https://api.spotify.com/v1/artists/6jJ0s89eD6GaHleKKya26X,87,pop,pop,https://open.spotify.com/artist/6jJ0s89eD6GaHleKKya26X,37109581,,3,https://i.scdn.co/image/ab6761610000e5eb0988562f78810e47a6e3325f,https://i.scdn.co/image/ab6761610000f1780988562f78810e47a6e3325f,"url: https://i.scdn.co/image/ab6761610000e5eb0988562f78810e47a6e3325f, height: 640, width: 640; url: https://i.scdn.co/image/ab676161000051740988562f78810e47a6e3325f, height: 320, width: 320; url: https://i.scdn.co/image/ab6761610000f1780988562f78810e47a6e3325f, height: 160, width: 160"
3fMbdgg4jU18AjLCKBhRSm,Michael Jackson,artist,spotify:artist:3fMbdgg4jU18AjLCKBhRSm,https://api.spotify.com/v1/artists/3fMbdgg4jU18AjLCKBhRSm,85,,,https://open.spotify.com/artist/3fMbdgg4jU18AjLCKBhRSm,35708565,,3,https://i.scdn.co/image/ab6761610000e5eb997cc9a4aec335d46c9481fd,https://i.scdn.co/image/ab6761610000f178997cc9a4aec335d46c9481fd,"url: https://i.scdn.co/image/ab6761610000e5eb997cc9a4aec335d46c9481fd, height: 640, width: 640; url: https://i.scdn.co/image/ab67616100005174997cc9a4aec335d46c9481fd, height: 320, width: 320; url: https://i.scdn.co/image/ab6761610000f178997cc9a4aec335d46c9481fd, height: 160, width: 160"
00FQb4jTyendYWaN8pK0wa,Lana Del Rey,artist,spotify:artist:00FQb4jTyendYWaN8pK0wa,https://api.spotify.com/v1/artists/00FQb4jTyendYWaN8pK0wa,92,,,https://open.spotify.com/artist/00FQb4jTyendYWaN8pK0wa,47554499,,3,https://i.scdn.co/image/ab6761610000e5ebb99cacf8acd5378206767261,https://i.scdn.co/image/ab6761610000f178b99cacf8acd5378206767261,"url: https://i.scdn.co/image/ab6761610000e5ebb99cacf8acd5378206767261, height: 640, width: 640; url: https://i.scdn.co/image/ab67616100005174b99cacf8acd5378206767261, height: 320, width: 320; url: https://i.scdn.co/image/ab6761610000f178b99cacf8acd5378206767261, height: 160, width: 160"
53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,artist,spotify:artist:53XhwfbYqKCa1cC15pYq2q,https://api.spotify.com/v1/artists/53XhwfbYqKCa1cC15pYq2q,88,,,https://open.spotify.com/artist/53XhwfbYqKCa1cC15pYq2q,57249085,,3,https://i.scdn.co/image/ab6761610000e5ebab47d8dae2b24f5afe7f9d38,https://i.scdn.co/image/ab6761610000f178ab47d8dae2b24f5afe7f9d38,"url: https://i.scdn.co/image/ab6761610000e5ebab47d8dae2b24f5afe7f9d38, height: 640, width: 640; url: https://i.scdn.co/image/ab67616100005174ab47d8dae2b24f5afe7f9d38, height: 320, width: 320; url: https://i.scdn.co/image/ab6761610000f178ab47d8dae2b24f5afe7f9d38, height: 160, width: 160"
5he5w2lnU9x7JFhnwcekXX,Skrillex,artist,spotify:artist:5he5w2lnU9x7JFhnwcekXX,https://api.spotify.com/v1/artists/5he5w2lnU9x7JFhnwcekXX,79,"dubstep, edm, electro, electronic",dubstep,https://open.spotify.com/artist/5he5w2lnU9x7JFhnwcekXX,7730599,,3,https://i.scdn.co/image/ab6761610000e5ebe32002317387b6d659308a94,https://i.scdn.co/image/ab6761610000f178e32002317387b6d659308a94,"url: https://i.scdn.co/image/ab6761610000e5ebe32002317387b6d659308a94, height: 640, width: 640; url: https://i.scdn.co/image/ab67616100005174e32002317387b6d659308a94, height: 320, width: 320; url: https://i.scdn.co/image/ab6761610000f178e32002317387b6d659308a94, height: 160, width: 160"
0TnOYISbd1XYRBk9myaseg,Pitbull,artist,spotify:artist:0TnOYISbd1XYRBk9myaseg,https://api.spotify.com/v1/artists/0TnOYISbd1XYRBk9myaseg,87,,,https://open.spotify.com/artist/0TnOYISbd1XYRBk9myaseg,11577167,,3,https://i.scdn.co/image/ab6761610000e5eb4051627b19277613e0e62a34,https://i.scdn.co/image/ab6761610000f1784051627b19277613e0e62a34,"url: https://i.scdn.co/image/ab6761610000e5eb4051627b19277613e0e62a34, height: 640, width: 640; url: https://i.scdn.co/image/ab676161000051744051627b19277613e0e62a34, height: 320, width: 320; url: https://i.scdn.co/image/ab6761610000f1784051627b19277613e0e62a34, height: 160, width: 160"
1KCSPY1glIKqW2TotWuXOR,P!nk,artist,spotify:artist:1KCSPY1glIKqW2TotWuXOR,https://api.spotify.com/v1/artists/1KCSPY1glIKqW2TotWuXOR,82,,,https://open.spotify.com/artist/1KCSPY1glIKqW2TotWuXOR,17879954,,3,https://i.scdn.co/image/ab6761610000e5eb7bbad89a61061304ec842588,https://i.scdn.co/image/ab6761610000f1787bbad89a61061304ec842588,"url: https://i.scdn.co/image/ab6761610000e5eb7bbad89a61061304ec842588, height: 640, width: 640; url: https://i.scdn.co/image/ab676161000051747bbad89a61061304ec842588, height: 320, width: 320; url: https://i.scdn.co/image/ab6761610000f1787bbad89a61061304ec842588, height: 160, width: 160"
31TPClRtHm23RisEBtV3X7,Justin Timberlake,artist,spotify:artist:31TPClRtHm23RisEBtV3X7,https://api.spotify.com/v1/artists/31TPClRtHm23RisEBtV3X7,83,,,https://open.spotify.com/artist/31TPClRtHm23RisEBtV3X7,15373288,,3,https://i.scdn.co/image/ab6761610000e5eb7a5cfe2597665a3d160e805e,https://i.scdn.co/image/ab6761610000f1787a5cfe2597665a3d160e805e,"url: https://i.scdn.co/image/ab6761610000e5eb7a5cfe2597665a3d160e805e, height: 640, width: 640; url: https://i.scdn.co/image/ab676161000051747a5cfe2597665a3d160e805e, height: 320, width: 320; url: https://i.scdn.co/image/ab6761610000f1787a5cfe2597665a3d160e805e, height: 160, width: 160"
085pc2PYOi8bGKj0PNjekA,will.i.am,artist,spotify:artist:085pc2PYOi8bGKj0PNjekA,https://api.spotify.com/v1/artists/085pc2PYOi8bGKj0PNjekA,76,,,https://open.spotify.com/artist/085pc2PYOi8bGKj0PNjekA,4367487,,3,https://i.scdn.co/image/ab6761610000e5ebc9ab8da6f7a3ce02f0b16fd8,https://i.scdn.co/image/ab6761610000f178c9ab8da6f7a3ce02f0b16fd8,"url: https://i.scdn.co/image/ab6761610000e5ebc9ab8da6f7a3ce02f0b16fd8, height: 640, width: 640; url: https://i.scdn.co/image/ab67616100005174c9ab8da6f7a3ce02f0b16fd8, height: 320, width: 320; url: https://i.scdn.co/image/ab6761610000f178c9ab8da6f7a3ce02f0b16fd8, height: 160, width: 160"
